material_id,formula,composition,structure,band_gap,functional,passes_topology,b_site_elements,anion_elements,n_candidate_b_sites,n_edge_or_face_sharing_pairs,disambiguated_by_bond_length,error,a_site_elements,a_site_mean_cn,a_site_cn_plausible,a_site_element,b_site_element,x_site_element,a_oxi_state,b_oxi_state,x_oxi_state,oxi_error,b_site_cn,x_site_cn,a_site_cn,a_site_radius,a_site_radius_method,b_site_radius,b_site_radius_method,x_site_radius,x_site_radius_method
mp-1183115,AcAlO3,Ac1 Al1 O3,"Full Formula (Ac1 Al1 O3)
Reduced Formula: AcAlO3
abc   :   3.858634   3.858634   3.858634
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP       a    b    c
---  ----  ----  ---  ---
  0  Ac    -0    0    0
  1  Al     0.5  0.5  0.5
  2  O      0.5  0.5  0
  3  O      0.5  0    0.5
  4  O      0    0.5  0.5",4.1024,GGA Static,True,['Al'],['O'],1,0,False,,['Ac'],{'Ac': 12.0},True,Ac,Al,O,3.0,3.0,-2.0,,6.0,2.0,12.0,1.12,shannon_fallback_cn,0.535,shannon_exact_cn,1.35,shannon_exact_cn
mp-1183052,AcBO3,Ac1 B1 O3,"Full Formula (Ac1 B1 O3)
Reduced Formula: AcBO3
abc   :   3.721668   3.721668   3.721668
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Ac    0    0    0           0
  1  B     0.5  0.5  0.5         0
  2  O     0.5  0.5  0          -0
  3  O     0.5  0    0.5        -0
  4  O     0    0.5  0.5        -0",0.8071000000000002,GGA Static,True,['B'],['O'],1,0,False,,['Ac'],{'Ac': 12.0},True,Ac,B,O,3.0,3.0,-2.0,,6.0,6.0,12.0,1.12,shannon_fallback_cn,0.27,shannon_exact_cn,1.4,shannon_exact_cn
mp-866101,AcCrO3,Ac1 Cr1 O3,"Full Formula (Ac1 Cr1 O3)
Reduced Formula: AcCrO3
abc   :   3.944287   3.944302   3.944272
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Ac    -0    -0    -0
  1  Cr     0.5   0.5   0.5
  2  O      0.5   0.5   0
  3  O      0.5  -0     0.5
  4  O     -0     0.5   0.5",2.0031000000000008,GGA+U Static,True,['Cr'],['O'],1,0,False,,['Ac'],{'Ac': 12.0},True,Ac,Cr,O,3.0,3.0,-2.0,,6.0,2.0,12.0,1.12,shannon_fallback_cn,0.615,shannon_exact_cn,1.35,shannon_exact_cn
mp-864606,AcCuO3,Ac1 Cu1 O3,"Full Formula (Ac1 Cu1 O3)
Reduced Formula: AcCuO3
abc   :   3.913331   3.913331   3.913331
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP            a          b          c
---  ----  ---------  ---------  ---------
  0  Ac     0          0          0
  1  Cu     0.499998   0.499998   0.499998
  2  O      0.499998   0.499998  -0
  3  O      0.499998  -0          0.499998
  4  O     -0          0.499998   0.499998",0.0,GGA Static,True,['Cu'],['O'],1,0,False,,['Ac'],{'Ac': 12.0},True,Ac,Cu,O,3.0,3.0,-2.0,,6.0,6.0,12.0,1.12,shannon_fallback_cn,0.54,shannon_exact_cn,1.4,shannon_exact_cn
mp-861502,AcFeO3,Ac1 Fe1 O3,"Full Formula (Ac1 Fe1 O3)
Reduced Formula: AcFeO3
abc   :   3.953570   3.953568   3.953585
angles:  90.000092  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP            a         b         c
---  ----  ---------  --------  --------
  0  Ac    -0         0         0
  1  Fe     0.499999  0.499999  0.499999
  2  O      0.499998  0.499999  0.999999
  3  O      0.499998  0.999999  0.499998
  4  O      0.999999  0.499999  0.499998",1.0084,GGA+U Static,True,['Fe'],['O'],1,0,False,,['Ac'],{'Ac': 12.0},True,Ac,Fe,O,3.0,3.0,-2.0,,6.0,2.0,12.0,1.12,shannon_fallback_cn,0.78,shannon_fallback_cn,1.35,shannon_exact_cn
mp-1183053,AcGaO3,Ac1 Ga1 O3,"Full Formula (Ac1 Ga1 O3)
Reduced Formula: AcGaO3
abc   :   3.946262   3.946262   3.946262
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  Ac    0    0    0
  1  Ga    0.5  0.5  0.5
  2  O     0.5  0.5  0
  3  O     0.5  0    0.5
  4  O     0    0.5  0.5",2.895900000000001,GGA Static,True,['Ga'],['O'],1,0,False,,['Ac'],{'Ac': 12.0},True,Ac,Ga,O,3.0,3.0,-2.0,,6.0,2.0,12.0,1.12,shannon_fallback_cn,0.62,shannon_exact_cn,1.35,shannon_exact_cn
mp-1183142,AcMgO3,Ac1 Mg1 O3,"Full Formula (Ac1 Mg1 O3)
Reduced Formula: AcMgO3
abc   :   4.016262   4.016262   4.016262
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Ac    0    0    0      -0.011
  1  Mg    0.5  0.5  0.5    -0.004
  2  O     0.5  0.5  0       0.29
  3  O     0.5  0    0.5     0.29
  4  O     0    0.5  0.5     0.29",0.0,GGA Static,True,['Mg'],['O'],1,0,False,,['Ac'],{'Ac': 12.0},True,Ac,Mg,O,,,,no_valid_oxi_state_combination_found,6.0,2.0,12.0,1.12,typical_oxi_shannon_fallback_cn,0.72,typical_oxi_shannon_exact_cn,1.35,typical_oxi_shannon_exact_cn
mp-864911,AcMnO3,Ac1 Mn1 O3,"Full Formula (Ac1 Mn1 O3)
Reduced Formula: AcMnO3
abc   :   3.963022   3.963022   3.963022
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  Ac    0    0    0
  1  Mn    0.5  0.5  0.5
  2  O     0.5  0.5  0
  3  O     0.5  0    0.5
  4  O     0    0.5  0.5",0.0,GGA+U Static,True,['Mn'],['O'],1,0,False,,['Ac'],{'Ac': 12.0},True,Ac,Mn,O,3.0,3.0,-2.0,,6.0,2.0,12.0,1.12,shannon_fallback_cn,0.785,average_ionic_radius,1.35,shannon_exact_cn
mp-1183139,AcNiO3,Ac1 Ni1 O3,"Full Formula (Ac1 Ni1 O3)
Reduced Formula: AcNiO3
abc   :   3.878840   3.878836   3.878812
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Ac     0     0    -0
  1  Ni     0.5   0.5   0.5
  2  O      0.5   0.5  -0
  3  O      0.5  -0     0.5
  4  O     -0     0.5   0.5",0.0,GGA+U Static,True,['Ni'],['O'],1,0,False,,['Ac'],{'Ac': 12.0},True,Ac,Ni,O,3.0,3.0,-2.0,,6.0,6.0,12.0,1.12,shannon_fallback_cn,0.74,average_ionic_radius,1.4,shannon_exact_cn
mp-1183145,AcPdO3,Ac1 Pd1 O3,"Full Formula (Ac1 Pd1 O3)
Reduced Formula: AcPdO3
abc   :   4.055208   4.055207   4.055206
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  Ac    -0    0     0
  1  Pd     0.5  0.5   0.5
  2  O      0.5  0.5  -0
  3  O      0.5  0     0.5
  4  O     -0    0.5   0.5",0.0,GGA Static,True,['Pd'],['O'],1,0,False,,['Ac'],{'Ac': 12.0},True,Ac,Pd,O,,,,no_valid_oxi_state_combination_found,6.0,6.0,12.0,1.12,typical_oxi_shannon_fallback_cn,0.86,typical_oxi_shannon_exact_cn,1.4,typical_oxi_shannon_exact_cn
mp-1183152,AcScO3,Ac1 Sc1 O3,"Full Formula (Ac1 Sc1 O3)
Reduced Formula: AcScO3
abc   :   4.125046   4.125046   4.125046
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Ac    0    0    0          -0
  1  Sc    0.5  0.5  0.5         0
  2  O     0.5  0.5  0           0
  3  O     0.5  0    0.5         0
  4  O     0    0.5  0.5         0",3.3847000000000005,GGA Static,True,['Sc'],['O'],1,0,False,,['Ac'],{'Ac': 12.0},True,Ac,Sc,O,3.0,3.0,-2.0,,6.0,2.0,12.0,1.12,shannon_fallback_cn,0.745,shannon_exact_cn,1.35,shannon_exact_cn
mp-1183150,AcSiO3,Ac1 Si1 O3,"Full Formula (Ac1 Si1 O3)
Reduced Formula: AcSiO3
abc   :   3.970175   3.970175   3.970175
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Ac    0    0    0           0
  1  Si    0.5  0.5  0.5        -0
  2  O     0.5  0.5  0          -0
  3  O     0.5  0    0.5        -0
  4  O     0    0.5  0.5        -0",0.0,GGA Static,True,['Si'],['O'],1,0,False,,['Ac'],{'Ac': 12.0},True,Ac,Si,O,,,,no_valid_oxi_state_combination_found,6.0,6.0,12.0,1.12,typical_oxi_shannon_fallback_cn,1.1,atomic_radius,1.4,typical_oxi_shannon_exact_cn
