material_id,formula,composition,structure,band_gap,functional
mp-1183115,AcAlO3,Ac1 Al1 O3,"Full Formula (Ac1 Al1 O3)
Reduced Formula: AcAlO3
abc   :   3.858634   3.858634   3.858634
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP       a    b    c
---  ----  ----  ---  ---
  0  Ac    -0    0    0
  1  Al     0.5  0.5  0.5
  2  O      0.5  0.5  0
  3  O      0.5  0    0.5
  4  O      0    0.5  0.5",4.1024,GGA Static
mp-1183052,AcBO3,Ac1 B1 O3,"Full Formula (Ac1 B1 O3)
Reduced Formula: AcBO3
abc   :   3.721668   3.721668   3.721668
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Ac    0    0    0           0
  1  B     0.5  0.5  0.5         0
  2  O     0.5  0.5  0          -0
  3  O     0.5  0    0.5        -0
  4  O     0    0.5  0.5        -0",0.8071000000000002,GGA Static
mp-866101,AcCrO3,Ac1 Cr1 O3,"Full Formula (Ac1 Cr1 O3)
Reduced Formula: AcCrO3
abc   :   3.944287   3.944302   3.944272
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Ac    -0    -0    -0
  1  Cr     0.5   0.5   0.5
  2  O      0.5   0.5   0
  3  O      0.5  -0     0.5
  4  O     -0     0.5   0.5",2.0031000000000008,GGA+U Static
mp-864606,AcCuO3,Ac1 Cu1 O3,"Full Formula (Ac1 Cu1 O3)
Reduced Formula: AcCuO3
abc   :   3.913331   3.913331   3.913331
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP            a          b          c
---  ----  ---------  ---------  ---------
  0  Ac     0          0          0
  1  Cu     0.499998   0.499998   0.499998
  2  O      0.499998   0.499998  -0
  3  O      0.499998  -0          0.499998
  4  O     -0          0.499998   0.499998",0.0,GGA Static
mp-861502,AcFeO3,Ac1 Fe1 O3,"Full Formula (Ac1 Fe1 O3)
Reduced Formula: AcFeO3
abc   :   3.953570   3.953568   3.953585
angles:  90.000092  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP            a         b         c
---  ----  ---------  --------  --------
  0  Ac    -0         0         0
  1  Fe     0.499999  0.499999  0.499999
  2  O      0.499998  0.499999  0.999999
  3  O      0.499998  0.999999  0.499998
  4  O      0.999999  0.499999  0.499998",1.0084,GGA+U Static
mp-1183053,AcGaO3,Ac1 Ga1 O3,"Full Formula (Ac1 Ga1 O3)
Reduced Formula: AcGaO3
abc   :   3.946262   3.946262   3.946262
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  Ac    0    0    0
  1  Ga    0.5  0.5  0.5
  2  O     0.5  0.5  0
  3  O     0.5  0    0.5
  4  O     0    0.5  0.5",2.895900000000001,GGA Static
mp-1183142,AcMgO3,Ac1 Mg1 O3,"Full Formula (Ac1 Mg1 O3)
Reduced Formula: AcMgO3
abc   :   4.016262   4.016262   4.016262
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Ac    0    0    0      -0.011
  1  Mg    0.5  0.5  0.5    -0.004
  2  O     0.5  0.5  0       0.29
  3  O     0.5  0    0.5     0.29
  4  O     0    0.5  0.5     0.29",0.0,GGA Static
mp-864911,AcMnO3,Ac1 Mn1 O3,"Full Formula (Ac1 Mn1 O3)
Reduced Formula: AcMnO3
abc   :   3.963022   3.963022   3.963022
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  Ac    0    0    0
  1  Mn    0.5  0.5  0.5
  2  O     0.5  0.5  0
  3  O     0.5  0    0.5
  4  O     0    0.5  0.5",0.0,GGA+U Static
mp-1183139,AcNiO3,Ac1 Ni1 O3,"Full Formula (Ac1 Ni1 O3)
Reduced Formula: AcNiO3
abc   :   3.878840   3.878836   3.878812
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Ac     0     0    -0
  1  Ni     0.5   0.5   0.5
  2  O      0.5   0.5  -0
  3  O      0.5  -0     0.5
  4  O     -0     0.5   0.5",0.0,GGA+U Static
mp-1183145,AcPdO3,Ac1 Pd1 O3,"Full Formula (Ac1 Pd1 O3)
Reduced Formula: AcPdO3
abc   :   4.055208   4.055207   4.055206
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP       a    b     c
---  ----  ----  ---  ----
  0  Ac    -0    0     0
  1  Pd     0.5  0.5   0.5
  2  O      0.5  0.5  -0
  3  O      0.5  0     0.5
  4  O     -0    0.5   0.5",0.0,GGA Static
mp-1183152,AcScO3,Ac1 Sc1 O3,"Full Formula (Ac1 Sc1 O3)
Reduced Formula: AcScO3
abc   :   4.125046   4.125046   4.125046
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Ac    0    0    0          -0
  1  Sc    0.5  0.5  0.5         0
  2  O     0.5  0.5  0           0
  3  O     0.5  0    0.5         0
  4  O     0    0.5  0.5         0",3.3847000000000005,GGA Static
mp-1183150,AcSiO3,Ac1 Si1 O3,"Full Formula (Ac1 Si1 O3)
Reduced Formula: AcSiO3
abc   :   3.970175   3.970175   3.970175
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Ac    0    0    0           0
  1  Si    0.5  0.5  0.5        -0
  2  O     0.5  0.5  0          -0
  3  O     0.5  0    0.5        -0
  4  O     0    0.5  0.5        -0",0.0,GGA Static
mp-865927,AcTiO3,Ac1 Ti1 O3,"Full Formula (Ac1 Ti1 O3)
Reduced Formula: AcTiO3
abc   :   3.995820   3.995820   3.995820
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP            a          b          c
---  ----  ---------  ---------  ---------
  0  Ac    -0         -0         -0
  1  Ti     0.499999   0.499999   0.499999
  2  O      0.499999   0.499999  -0
  3  O      0.499999   0          0.499999
  4  O     -0          0.499999   0.499999",0.0,GGA Static
mp-1183168,AcVO3,Ac1 V1 O3,"Full Formula (Ac1 V1 O3)
Reduced Formula: AcVO3
abc   :   3.967894   3.967897   3.967894
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Ac    -0    -0    -0
  1  V      0.5   0.5   0.5
  2  O      0.5   0.5  -0
  3  O      0.5   0     0.5
  4  O     -0     0.5   0.5",0.0,GGA+U Static
mp-36600,Ag3SBr,Ag3 S1 Br1,"Full Formula (Ag6 S2 Br2)
Reduced Formula: Ag3SBr
abc   :   6.978889   6.905923   6.864161
angles:  60.902966  59.844088  59.252946
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.435853  0.435853  0.064147        -0
  1  Ag    0.563872  0.93933   0.06067         -0
  2  Ag    0.935853  0.935853  0.564147        -0
  3  Ag    0.93933   0.563872  0.436128        -0
  4  Ag    0.44533   0.44533   0.55467         -0
  5  Ag    0.063791  0.063791  0.936209        -0
  6  S     0.254481  0.754154  0.245846        -0
  7  S     0.754154  0.254481  0.745519        -0
  8  Br    0.996189  0.496149  0.003811        -0
  9  Br    0.496149  0.996189  0.503851        -0",0.39769999999999994,GGA Static
mp-1105645,Ag3SBr,Ag3 S1 Br1,"Full Formula (Ag12 S4 Br4)
Reduced Formula: Ag3SBr
abc   :   6.992430   6.992430   9.917093
angles:  90.000000  90.000000  91.050713
pbc   :       True       True       True
Sites (20)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ag    0.552885  0.974824  0.75            -0
  1  Ag    0.025176  0.447115  0.25            -0
  2  Ag    0.447115  0.025176  0.25            -0
  3  Ag    0.974824  0.552885  0.75            -0
  4  Ag    0.257448  0.257448  0.020667        -0
  5  Ag    0.742552  0.742552  0.979333        -0
  6  Ag    0.257448  0.257448  0.479333        -0
  7  Ag    0.742552  0.742552  0.520667        -0
  8  Ag    0.291776  0.708224  0               -0
  9  Ag    0.291776  0.708224  0.5             -0
 10  Ag    0.708224  0.291776  0               -0
 11  Ag    0.708224  0.291776  0.5             -0
 12  S     0.5       0         0               -0
 13  S     0         0.5       0               -0
 14  S     0.5       0         0.5             -0
 15  S     0         0.5       0.5             -0
 16  Br    0.967219  0.967219  0.75            -0
 17  Br    0.032781  0.032781  0.25            -0
 18  Br    0.495861  0.495861  0.75            -0
 19  Br    0.504139  0.504139  0.25            -0",0.2964,GGA Static
